"Active.Material....","Solid.Content....","Comma.Gap..μm.","σ..mg.cm2.","σ..μm.","σ1..mg.cm2..Perpendicular","σ1..μm..Perpendicular","σ2..mg.cm2..Perpendicular","σ2..μm..Perpendicular","σ3..mg.cm2..Perpendicular","σ3..μm..Perpendicular","σ1..mg.cm2..Direction","σ1..μm..Direction","σ2..mg.cm2..Direction","σ2..μm..Direction","σ3..mg.cm2..Direction","σ3..μm..Direction"
95,0.65,300,0.0194108726797253,0.0073762650945092,0.0134295607132427,0.00954297965602687,0.0240301422921366,0.00473237925565267,0.0183403236166368,0.00388520209443158,0.00869984515123321,0.00788005850005217,0.0266736869493903,0.00411522633744856,0.0135726226540776,0.00911160656691044
95,0.65,50,0.0636038786098562,0.0253064433768195,0.0504047142496048,0.0192764480818947,0.0572276157112979,0.0197882121902636,0.0409231568967124,0.0184892628951465,0.0789662395233708,0.0298142396999972,0.0573097604360102,0.0263157894736842,0.0481437912588936,0.0151934281365691
96,0.6,100,0.0147504839688567,0.00820575404587079,0.0140236428367172,0.00619409412049803,0.0106845801325495,0.00777040418886316,0.00667198703848842,0.00612621363698572,0.0098003402272957,0.00826446280991736,0.0174255832951038,0.00777040418886316,0.0130684805883285,0.00826446280991736
96,0.6,75,0.0199663062997406,0.0124039040988736,0.0190709422388041,0.0157469575880267,0.0256602648301074,0.00779117762195049,0.0074019265280721,0.00988960533128039,0.0228184949454852,0.00995925043924715,0.0166981310455654,0.00988960533128039,0.0176578399384054,0.0143662216920476
96,0.6,400,0.0150397638311546,0.00758464892965123,0.00929766860710209,0.00877888064167785,0.0203400077947569,0.00716983327186206,0.00853651153997453,0.00269888084422346,0.0191700754772301,0.00721092114161485,0.0124802283836108,0.00716983327186206,0.0110895702340132,0.00612739161476828
96,0.6,200,0.00905321620272667,0.0370616236010576,0.00690685616213874,0.0381058838414468,0.0101210661907648,0.0405533409160588,0.00663716276410318,0.00791463850596864,0.0138242797745647,0.0396316740770575,0.0042686442951777,0.0092369893775892,0.00255715095632621,0.0125303096201042
96,0.6,300,0.0161913161750226,0.00535826296019485,0.0140939113857341,0.00281975785308927,0.0211432866873128,0.00353553390593274,0.011025184009032,0.00517328183891802,0.0130144200391744,0.00377358490566038,0.00936241023309046,0.00517328183891802,0.00906194352395814,0.00613907203705057
96,0.6,50,0.0511843689918226,0.0235160035246048,0.0161008520869583,0.0325361511893386,0.0492154504929702,0.00985051972466868,0.0239885698728037,0.0194440693695634,0.0380491643195772,0.0256410256410256,0.0556702214268904,0.00985051972466868,0.0533644482704719,0.0125151642687885
96,0.58,100,0.020522560873342,0.0287353621444987,0.0112504531477051,0.0244427977364683,0.0146041236149539,0.0281713785281369,0.0115557094312991,0.0299440727119286,0.0225637549085082,0.0064439999351579,0.0178582023452838,0.0178360006613728,0.0177920964162873,0.00764439763444916
96,0.58,75,0.020295249849355,0.0184712625290612,0.0218345158528248,0.0132575743588992,0.0156929707628346,0.0222057795842164,0.0162876959859507,0.0182479169338464,0.0221057520745989,0.0073313704180321,0.0225416354612602,0.0157018573255332,0.0109251241651949,0.00895071874919681
96,0.58,400,0.00544717272147398,0.00356674290636342,0.00472906545322852,0.00432726694518965,0.00295212660135431,0.00267337157348411,0.00649307514305909,0.00211949571326994,0.00337405176550689,0.00421899618396187,0.00658044867371697,0.00211548531456934,0.00224591639663917,0.00211949571326994
96,0.58,200,0.00537230444895124,0.00892129603885082,0.00290501349904787,0.00523560209424084,0.00221663567770054,0.0112532939146447,0.00251201421633278,0.0072462313279748,0.0059696275019446,0.00729753208073922,0.00495454023445856,0.00494480266564019,0.00501962976891906,0.00492757338805956
96,0.58,300,0.0113781120018138,0.00663095566682855,0.0117821078471817,0.00613907203705057,0.0124089181938501,0.00557622937032366,0.00710932541290124,0.00356225078683399,0.00977316410698187,0.00675679398636701,0.00422562506030763,0.00516033244758155,0.00762518642382442,0.0075187969924812
96,0.58,50,0.0325589834086376,0.0167777556279147,0.0208514414057075,0.0112365224999989,0.030564127473152,0.0207191237468224,0.0363623744343605,0.0149253731343284,0.0136527169241638,0.0174954627027159,0.0438928756650141,0.0149253731343284,0.0309152745824365,0.0141421356237309
96,0.73,400,0.00769550178650506,0.0108172260257511,0.00330569711562804,0.00578428013655693,0.00779592144483433,0.00796097316334881,0.00869122202371471,0.0142595227177386,0.00790045900923554,0.00809199832290541,0.00809673107716971,0.0124916754650156,0.0041180249923537,0.0109186713353165
96,0.73,200,0.0166568961268888,0.0119266512415381,0.00566205184587421,0.00656079851351847,0.0187113415345381,0.0142181439458959,0.0121045320088931,0.00788356716179285,0.0161906115061621,0.0106733099047026,0.0145639049645875,0.0109420240886439,0.0145372437671802,0.012150140867994
96,0.73,300,0.0135441094685594,0.00826446280991736,0.0121510671120377,0.00568704224223126,0.0120691466993113,0.00777040418886316,0.0145821404756108,0.0100415308817662,0.0117704497349726,0.00794545317640115,0.0108205963557932,0.00617698336325909,0.0082391491234152,0.00564036337293798
96,0.73,50,0.0636787368255612,0.031915335817354,0.0502301508135275,0.0160375074774896,0.0482799253585207,0.0156040613294493,0.0766322620005126,0.0463127908807414,0.0520682465089644,0.0358609569093279,0.0648815037004158,0.0203278907045435,0.057227615711298,0.0344741298414189
96,0.69,100,0.0226446556494358,0.0226764231161257,0.0117954385479019,0.0169879015997934,0.0239236785512024,0.0257694101601104,0.0159284494767039,0.0229656463384243,0.0232708403700724,0.00917431192660551,0.0240201635377697,0.00714398714856163,0.0150331984114178,0.0142424711942662
96,0.69,75,0.0263329112235711,0.037981493444313,0.0106819946269366,0.0459626999887082,0.0258970476361781,0.0236901770739671,0.0170958207644558,0.0268638741301864,0.036562244696491,0.0190288509086025,0.0163787310408404,0.0521907303061407,0.0210280020626853,0.0245721755769208
96,0.69,400,0.00836758314619698,0.00997047365204689,0.0096756285263337,0.0107801681048473,0.00770298558552162,0.00935593296025016,0.0042001808184455,0.00467796648012508,0.00757693524260159,0.004317388089652,0.00347040764957845,0.00671891315575325,0.0115870227929781,0.0148864585512957
96,0.69,200,0.0150990961942532,0.0123079191115555,0.0142183204612657,0.0105793050580811,0.015156986175913,0.0147931334831166,0.00373599003736001,0.00764954661524612,0.00947344799393947,0.0118357194776947,0.0138120908327508,0.0117488518118034,0.0179912725217251,0.0118357194776947
96,0.69,300,0.0135182637796407,0.0180592835475352,0.00770349858929557,0.0155854858997598,0.0181240391795191,0.0152603649422681,0.0104348112157977,0.0161676233320976,0.0108866210790363,0.00992482065457279,0.00587271669612753,0.0242131031213987,0.0125170059850548,0.0100263405514884
96,0.69,50,0.0653823067281034,0.0211062689437868,0.0416319841881513,0.0125151642687885,0.0611052253822323,0.0186565865412564,0.0264750971832181,0.0129744363520467,0.0607292368835135,0.0199648926562481,0.0675092787499577,0.0243672615707444,0.0650009811542904,0.0128564869306645
96,0.71,100,0.035083652660662,0.0189013144795525,0.0312321096529732,0.0127650328966491,0.0430324915121471,0.0206001539773627,0.022077499946129,0.0200724897725168,0.0377586249753364,0.0176776695296637,0.0397124468744896,0.0206001539773627,0.0240201635377697,0.0175678703400384
96,0.71,75,0.0424629004368868,0.0190653943680673,0.0491021311527978,0.0195824174804891,0.0430212260999989,0.0203483965809078,0.0221151919911609,0.010989010989011,0.0371291267851627,0.0231159719762919,0.0425881534493162,0.0177499256723419,0.0421799689247155,0.010989010989011
